property_id,listing_id,status,city,state_code,postal_code,beds,baths,sqft,list_price
9425157903,2953444329,for_rent,Lawrenceville,GA,30046,2,3,2320,800
9530317954,2926795634,for_rent,Rome,GA,30165,,,,
6608521466,2953415810,for_rent,College Park,GA,30349,,,,
5504569737,2953400566,for_rent,Manchester,GA,31816,3,2,,850
9724045493,2953366045,for_rent,Columbus,GA,31903,3,1,858,800
9073947640,2953356981,for_rent,Savannah,GA,31401,2,1,900,900
9583087003,2922354455,for_rent,Macon,GA,31201,,,,
9541878622,2953325137,for_rent,Columbus,GA,31903,3,1,957,800
6855974418,2953304844,for_rent,Warner Robins,GA,31093,3,1,975,875
5182430182,2953165052,for_rent,Columbus,GA,31906,2,1,847,895
9381233719,2953159086,for_rent,Albany,GA,31701,3,2,1300,850
9967504092,2953159268,for_rent,Lawrenceville,GA,30043,1,1,,600
9331411332,2488395555,for_rent,Dublin,GA,31021,,,,
9546369815,2953054522,for_rent,Augusta,GA,30901,,,,
6986564766,2952941559,for_rent,Valdosta,GA,31602,,,,
9789250082,2952936928,for_rent,Augusta,GA,30904,1,1,625,800
6929245343,612138606,for_rent,Columbus,GA,31901,,,,
9166805075,2952858305,for_rent,Lyons,GA,30436,,,,
9092686712,2952775398,for_rent,Columbus,GA,31904,1,1,700,695
5371034615,2952759939,for_rent,Statesboro,GA,30461,,,,
9990328008,2952727313,for_rent,Columbus,GA,31903,3,1,858,825
9893906618,2952837427,for_rent,Macon,GA,31201,,,,
9917947979,2952835197,for_rent,Columbus,GA,31907,,,,
9989451069,2952832945,for_rent,Augusta,GA,30901,,,,
9748882847,2952837921,for_rent,Atlanta,GA,30311,,,,
9728084954,2952835059,for_rent,Dublin,GA,31021,,,,
9799623351,2952841792,for_rent,Columbus,GA,31903,,,,
9067843747,2952833195,for_rent,Milledgeville,GA,31061,,,,
6996826199,2952839587,for_rent,Macon,GA,31210,,,,
6338453897,2952840856,for_rent,Columbus,GA,31903,,,,
9406319248,2952832520,for_rent,Columbus,GA,31907,,,,
6666505959,2952832077,for_rent,Valdosta,GA,31602,,,,
6624657619,2952837747,for_rent,Atlanta,GA,30344,,,,
9356838674,2952840163,for_rent,Perry,GA,31069,,,,
9454095412,2952831244,for_rent,Milledgeville,GA,31061,,,,
9477422976,2952841444,for_rent,Augusta,GA,30904,,,,
9324432756,2952839443,for_rent,Warner Robins,GA,31093,,,,
9486331355,2952838786,for_rent,Decatur,GA,30035,,,,
9421283916,2952841893,for_rent,Calhoun,GA,30701,,,,
5150215137,2952830247,for_rent,Norcross,GA,30071,,,,
5756644368,2952833471,for_rent,Columbus,GA,31907,,,,
5620322830,2952838197,for_rent,Macon,GA,31217,,,,
5571477084,2952838927,for_rent,Augusta,GA,30909,,,,
5390808433,2952838990,for_rent,Lawrenceville,GA,30046,,,,
5466749881,2952840890,for_rent,Thomasville,GA,31792,,,,
5043314095,2952841159,for_rent,Acworth,GA,30101,,,,
5620360096,2952835341,for_rent,Milledgeville,GA,31061,,,,
5554287580,2952836406,for_rent,Columbus,GA,31906,,,,
5543192233,2952834644,for_rent,Augusta,GA,30904,,,,
5258093345,2952832329,for_rent,Augusta,GA,30906,,,,
5153895047,2952838966,for_rent,Rossville,GA,30741,,,,
6315901062,2952837313,for_rent,Albany,GA,31707,,,,
5912206230,2952837340,for_rent,Rincon,GA,31326,,,,
9241300153,2952833865,for_rent,Savannah,GA,31419,,,,
6770879641,2952830454,for_rent,Columbus,GA,31907,,,,
9899251902,2952834498,for_rent,Warner Robins,GA,31088,,,,
5556048983,2952840074,for_rent,Macon,GA,31210,,,,
